Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
PCDH11X	-1.75724754	-0.63792793	-1.19872295	-2.36100126	-0.96304359	-1.49288531	-1.8460118	-0.82058298	-1.315745
PCDH19	-0.95425105	-1.103e-05	-0.18998056	-1.47201813	-0.06360695	-0.60894024	-1.08065173	-0.05589787	-0.39270722
PCSK1N	-5.41414945	-0.00257506	-0.78868755	-6.0249981	-0.20897291	-1.23229435	-5.65335664	-0.11172844	-0.93003277
PCYT1B	-1.32204658	-1.466e-05	-0.40578683	-1.88888862	-0.07413291	-0.80760836	-1.45917952	-0.05129181	-0.51519738
PDHA1	-1.010794	-8.709e-05	-0.35329112	-1.54870871	-0.07266671	-0.70084695	-1.13851149	-0.05740385	-0.42974013
PDK3	-1.74032402	-0.08379363	-0.90787265	-2.38168746	-0.33692517	-1.26862796	-1.86536325	-0.23285868	-1.06956841
PDZD11	-1.85072236	-2.56e-06	-0.49744344	-2.44697007	-0.00239407	-0.89212223	-1.95027353	-0.00119667	-0.60011001
PDZD4	-1.03580046	-9e-07	-0.31640976	-1.56908289	-0.07583818	-0.65203013	-1.1666482	-0.0587926	-0.4280778
PFKFB1	-5.6613953	-1.72549349	-2.47596298	-6.11653843	-2.02141515	-2.92655368	-5.80163693	-1.86598061	-2.6646491
PGK1	-1.17751189	-5.224e-05	-0.33513031	-1.72788971	-0.07838724	-0.74969638	-1.30986025	-0.05575013	-0.50502922
PGRMC1	-5.25282676	-8.99e-05	-0.66133231	-5.79118139	-0.11015542	-1.0909001	-5.41240479	-0.00981893	-0.80853488
PHEX	-0.84710294	-8.29e-06	-0.15768667	-1.35501961	-0.05969521	-0.56186807	-0.96548849	-0.04672799	-0.36407552
PHF6	-0.96435854	-2.801e-05	-0.24800967	-1.50153134	-0.06724938	-0.61116505	-1.09359421	-0.05588429	-0.37297118
PHF8	-1.46287694	-0.5196033	-1.02997781	-2.09984963	-0.80470513	-1.32478803	-1.54028354	-0.71509457	-1.16940826
PHKA1	-1.77636117	-1.00609192	-1.39668647	-2.41499892	-1.31630403	-1.67983616	-1.84159798	-1.22059573	-1.51138517
PHKA2	-1.55436558	-0.69815301	-1.16373073	-2.18178891	-0.97726106	-1.45098673	-1.62282587	-0.89509387	-1.29013126
PIGA	-1.33201524	-1.598e-05	-0.45721573	-1.89290078	-0.07098668	-0.86571316	-1.46013004	-0.04642527	-0.64740549
PIH1D3	-4.30326404	-0.00013804	-0.60252768	-4.61576647	-0.00851089	-1.02486676	-4.40690746	-0.0076342	-0.74748339
PIM2	-1.45388823	-6.874e-05	-0.43728972	-2.04456337	-0.05805908	-0.88066438	-1.57304629	-0.0296813	-0.57875319
PIN4	-5.20369763	-1.439e-05	-0.65767546	-5.71542026	-0.08976686	-1.08450394	-5.35665899	-0.01263066	-0.79907084
PIR	-5.87603585	-2.14689679	-4.11767598	-6.43077887	-2.27071668	-4.4953586	-6.02729415	-2.24049054	-4.20059755
PJA1	-0.97520155	-1.377e-05	-0.2636784	-1.50222447	-0.07046134	-0.57168418	-1.10308989	-0.05540433	-0.40384731
PLP1	-2.09769615	-3.009e-05	-0.51604634	-2.7056186	-0.01396155	-0.90587158	-2.18971854	-0.00721359	-0.65581277
PLP2	-5.86686152	-1.98319491	-3.042645	-6.45762263	-2.10444994	-3.44593785	-6.03706326	-2.07979629	-3.1644875
PLS3	-1.30235083	-0.0776683	-0.72122696	-1.86942037	-0.30860381	-1.10518396	-1.41637403	-0.23353611	-0.89254581
PLXNA3	-1.59457586	-0.81828974	-1.24027092	-2.24633692	-1.11170626	-1.51000805	-1.66259584	-1.02747869	-1.3497891
PLXNB3	-1.68226496	-0.84873744	-1.27699204	-2.34068273	-1.15114258	-1.5563812	-1.75194989	-1.05382666	-1.39420695
PNCK	-5.33925441	-0.78166619	-1.55417797	-5.58414254	-1.14736617	-1.88905619	-5.41539634	-0.96013574	-1.66653981
PNPLA4	-3.18151786	-5.719e-05	-0.99373861	-3.7467995	-0.20354409	-1.3683384	-3.35967971	-0.08193871	-1.15370799
POF1B	-5.79694707	-1.83946267	-2.71462933	-6.25543937	-2.08489838	-3.08631417	-5.92909928	-1.95802415	-2.81897052
POLA1	-0.69725008	-2.855e-05	-0.06543207	-1.15540836	-0.04107529	-0.47192624	-0.80349646	-0.03434432	-0.27706505
PORCN	-0.97089903	-7.23e-06	-0.27357708	-1.49007212	-0.069343	-0.6347352	-1.09521703	-0.0538241	-0.3736405
