Gene	log10_ci_low	log10_ci_high	log10_map
MGA	-0.9190738	-0.29445033	-0.55386374
MGAM	-5.51465972	-1.80646905	-2.98585649
MGARP	-6.19641728	-2.21122879	-3.42594709
MGAT1	-1.47487896	-0.09877561	-0.73846377
MGAT2	-3.42465323	-0.38771585	-1.38174425
MGAT3	-5.70086799	-1.05847742	-1.72206861
MGAT4A	-1.67355909	-0.72082089	-1.23375875
MGAT4B	-1.77091235	-0.7545514	-1.29521145
MGAT4C	-5.67325933	-1.26197649	-1.85584936
MGAT5	-0.96837042	-0.06064809	-0.430247
MGAT5B	-1.47669769	-0.4755911	-0.9970664
MGEA5	-1.50473162	-0.62723074	-1.1086773
MGLL	-3.38512271	-0.1577155	-1.1921228
MGME1	-5.95872915	-1.4693485	-2.03272176
MGMT	-6.21593044	-2.16263976	-3.48425666
MGP	-5.33735001	-0.30327734	-1.32809144
MGRN1	-1.87213556	-0.90205461	-1.37941229
MGST1	-6.13499791	-1.51899645	-2.38120111
MGST2	-3.75722954	-0.0049933	-0.83676981
MGST3	-5.76392595	-1.23355275	-1.8250983
